Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56591408,Las gratitudes,Delphine de Vigan,"Vigan, Delphine de",Pablo Martín Sánchez,"=""8433980831""","=""9788433980830""",0,4.34,Anagrama,Paperback,176,2021,2019,,2026/02/06,to-read,to-read (#15),to-read,,,,0,0
11741,Housekeeping,Marilynne Robinson,"Robinson, Marilynne",,"=""0312424094""","=""9780312424091""",0,3.81,Picador,Paperback,219,2004,1980,,2026/02/04,to-read,to-read (#14),to-read,,,,0,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,4.05,Penguin Random House ,Paperback,331,2012,2011,,2026/02/04,to-read,to-read (#13),to-read,,,,0,0
17567272,La ridícula idea de no volver a verte,Rosa Montero,"Montero, Rosa",,"=""8432215481""","=""9788432215483""",0,4.09,Seix Barral,Paperback,240,2013,2013,,2026/02/04,to-read,to-read (#12),to-read,,,,0,0
57398262,Los nombres propios,Marta Jiménez Serrano,"Serrano, Marta Jiménez",,"=""8418342250""","=""9788418342257""",0,4.30,Editorial Sexto Piso,Paperback,236,2021,2021,,2026/02/04,to-read,to-read (#11),to-read,,,,0,0
238448115,Comerás flores,Lucía Solla Sobral,"Sobral, Lucía Solla",,"=""8410178745""","=""9788410178748""",0,4.34,Libros del Asteroide,Paperback,248,2025,,2026/01/28,2026/01/27,,,read,,,,1,0
123723946,La mala costumbre,Alana S. Portero,"Portero, Alana S.",,"=""8432242187""","=""9788432242182""",0,4.50,Seix Barral,Kindle Edition,252,2023,2023,2026/01/08,2026/01/06,,,read,,,,1,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.20,Tinder Press,Hardcover,372,2020,2020,,2025/10/01,to-read,to-read (#10),to-read,,,,0,0
8680278,"We'll Always Have Summer (Summer, #3)",Jenny Han,"Han, Jenny",,"=""1416995587""","=""9781416995586""",0,3.77,Simon & Schuster Children's Publishing,Hardcover,291,2011,2011,2025/09/15,2025/09/15,,,read,,,,1,0
6584188,"It's Not Summer Without You (Summer, #2)",Jenny Han,"Han, Jenny",,"=""1416995552""","=""9781416995555""",0,3.74,Simon & Schuster Books for Young Readers,Hardcover,275,2010,2010,2025/09/15,2025/09/14,,,read,,,,1,0
